City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,New Norfolk,AU,2022-04-26 06:35:53,-42.7826,147.0587,61.66,62,95,3.51
68,Codrington,AU,2022-04-26 06:35:53,-38.2667,141.9667,69.44,48,100,7.02
69,Kavieng,PG,2022-04-26 06:35:54,-2.5744,150.7967,83.55,74,52,10.71
70,Buchanan,LR,2022-04-26 06:35:55,5.8808,-10.0467,79.11,88,98,3.62
71,Dikson,RU,2022-04-26 06:33:09,73.5069,80.5464,17.98,86,100,7.7
72,Marevo,RU,2022-04-26 06:35:56,57.3146,32.0804,43.34,86,100,6.87
73,Saint-Philippe,RE,2022-04-26 06:35:57,-21.3585,55.7679,81.99,72,33,13.71
74,Kodiak,US,2022-04-26 06:34:20,57.79,-152.4072,40.51,75,20,5.75
75,Mahebourg,MU,2022-04-26 06:35:57,-20.4081,57.7,81.25,69,40,11.5
76,Cabo San Lucas,MX,2022-04-26 06:35:14,22.8909,-109.9124,72.52,58,1,8.86
77,Flinders,AU,2022-04-26 06:35:58,-34.5833,150.8552,68.18,82,100,5.99
78,Ierapetra,GR,2022-04-26 06:35:59,35.01,25.7353,66.15,72,100,1.01
79,Bandarbeyla,SO,2022-04-26 06:29:27,9.4942,50.8122,84.63,61,51,3.87
80,Kapaa,US,2022-04-26 06:36:00,22.0752,-159.319,78.78,90,75,16.11
81,Saldanha,ZA,2022-04-26 06:36:00,-33.0117,17.9442,50.05,71,96,11.56
82,Yambio,SS,2022-04-26 06:36:01,4.5721,28.3955,74.86,72,100,6.22
83,Nanortalik,GL,2022-04-26 06:36:01,60.1432,-45.2371,32.58,93,100,6.85
84,Asau,RO,2022-04-26 06:36:02,46.4333,26.4,62.96,42,8,6.76
85,Haines Junction,CA,2022-04-26 06:36:02,60.7522,-137.5108,35.55,69,98,3.44
86,Guerrero Negro,MX,2022-04-26 06:36:03,27.9769,-114.0611,62.01,75,0,8.3
87,Castro,BR,2022-04-26 06:36:03,-24.7911,-50.0119,58.19,83,61,2.06
88,Buraydah,SA,2022-04-26 06:36:04,26.326,43.975,79.25,33,0,7.94
89,Sao Filipe,CV,2022-04-26 06:36:04,14.8961,-24.4956,74.7,64,1,9.57
90,Tuatapere,NZ,2022-04-26 06:36:05,-46.1333,167.6833,51.31,85,89,10.98
91,Georgetown,MY,2022-04-26 06:36:05,5.4112,100.3354,91.35,63,20,10.36
92,Bethel,US,2022-04-26 06:32:27,41.3712,-73.414,51.89,56,100,4.61
93,Kahului,US,2022-04-26 06:37:06,20.8947,-156.47,74.84,80,40,17.27
94,Sitka,US,2022-04-26 06:37:07,57.0531,-135.33,46.29,76,75,3.44
95,Bluff,NZ,2022-04-26 06:33:54,-46.6,168.3333,53.8,78,98,24.27
